[SI/22-23/21467] 1/179 | Started
[SI/22-23/21467] 1/179 | Wrong items 8
[SI/22-23/21467] 1/179 | CN creation started
[SI/22-23/21467] 1/179 | CN creation completed - [CN/22-23/06564]: Grand Total = -5513.55
[SI/22-23/21467] 1/179 | Correct SI creation started
[SI/22-23/21747] 1/179 | Correct SI creation completed - [SI/22-23/21747]: Grand Total = 4406.97
[SI/22-23/21747] 1/179 | Completed in 0:00:15.150928 Total time till now 0:00:15.313934
[SI/22-23/21485] 2/179 | Started
[SI/22-23/21485] 2/179 | Completed in 0:00:00.302525 Total time till now 0:00:15.616515
[SI/22-23/21486] 3/179 | Started
[SI/22-23/21486] 3/179 | Wrong items 2
[SI/22-23/21486] 3/179 | CN creation started
[SI/22-23/21486] 3/179 | CN creation completed - [CN/22-23/06565]: Grand Total = -237.31
[SI/22-23/21486] 3/179 | Correct SI creation started
[SI/22-23/21748] 3/179 | Correct SI creation completed - [SI/22-23/21748]: Grand Total = 346.01
[SI/22-23/21748] 3/179 | Completed in 0:00:08.406987 Total time till now 0:00:24.023559
[SI/22-23/21487] 4/179 | Started
[SI/22-23/21487] 4/179 | Wrong items 23
[SI/22-23/21487] 4/179 | CN creation started
[SI/22-23/21487] 4/179 | CN creation completed - [CN/22-23/06566]: Grand Total = -15953.21
[SI/22-23/21487] 4/179 | Correct SI creation started
[SI/22-23/21749] 4/179 | Correct SI creation completed - [SI/22-23/21749]: Grand Total = 13629.61
[SI/22-23/21749] 4/179 | Completed in 0:00:30.920731 Total time till now 0:00:54.944350
[SI/22-23/21488] 5/179 | Started
[SI/22-23/21488] 5/179 | Wrong items 7
[SI/22-23/21488] 5/179 | CN creation started
[SI/22-23/21488] 5/179 | CN creation completed - [CN/22-23/06567]: Grand Total = -2477.91
[SI/22-23/21488] 5/179 | Correct SI creation started
[SI/22-23/21750] 5/179 | Correct SI creation completed - [SI/22-23/21750]: Grand Total = 1084.82
[SI/22-23/21750] 5/179 | Completed in 0:00:12.525895 Total time till now 0:01:07.470310
[SI/22-23/21489] 6/179 | Started
[SI/22-23/21489] 6/179 | Wrong items 13
[SI/22-23/21489] 6/179 | CN creation started
[SI/22-23/21489] 6/179 | CN creation completed - [CN/22-23/06568]: Grand Total = -18327.16
[SI/22-23/21489] 6/179 | Correct SI creation started
[SI/22-23/21751] 6/179 | Correct SI creation completed - [SI/22-23/21751]: Grand Total = 15978.53
[SI/22-23/21751] 6/179 | Completed in 0:00:20.581089 Total time till now 0:01:28.051463
[SI/22-23/21490] 7/179 | Started
[SI/22-23/21490] 7/179 | Wrong items 3
[SI/22-23/21490] 7/179 | CN creation started
[SI/22-23/21490] 7/179 | CN creation completed - [CN/22-23/06569]: Grand Total = -938.14
[SI/22-23/21490] 7/179 | Correct SI creation started
[SI/22-23/21752] 7/179 | Correct SI creation completed - [SI/22-23/21752]: Grand Total = 553.7
[SI/22-23/21752] 7/179 | Completed in 0:00:08.960568 Total time till now 0:01:37.012092
[SI/22-23/21491] 8/179 | Started
[SI/22-23/21491] 8/179 | Completed in 0:00:00.310177 Total time till now 0:01:37.322321
[SI/22-23/21492] 9/179 | Started
[SI/22-23/21492] 9/179 | Completed in 0:00:00.409414 Total time till now 0:01:37.731778
[SI/22-23/21493] 10/179 | Started
[SI/22-23/21493] 10/179 | Wrong items 1
[SI/22-23/21493] 10/179 | CN creation started
[SI/22-23/21493] 10/179 | CN creation completed - [CN/22-23/06570]: Grand Total = -600.0
[SI/22-23/21493] 10/179 | Correct SI creation started
[SI/22-23/21753] 10/179 | Correct SI creation completed - [SI/22-23/21753]: Grand Total = 933.35
[SI/22-23/21753] 10/179 | Completed in 0:00:09.589454 Total time till now 0:01:47.321288
[SI/22-23/21495] 11/179 | Started
[SI/22-23/21495] 11/179 | Wrong items 3
[SI/22-23/21495] 11/179 | CN creation started
[SI/22-23/21495] 11/179 | CN creation completed - [CN/22-23/06571]: Grand Total = -7190.9
[SI/22-23/21495] 11/179 | Correct SI creation started
[SI/22-23/21754] 11/179 | Correct SI creation completed - [SI/22-23/21754]: Grand Total = 5086.6
[SI/22-23/21754] 11/179 | Completed in 0:00:14.095691 Total time till now 0:02:01.417046
[SI/22-23/21496] 12/179 | Started
[SI/22-23/21496] 12/179 | Completed in 0:00:00.186182 Total time till now 0:02:01.603282
[SI/22-23/21497] 13/179 | Started
[SI/22-23/21497] 13/179 | Wrong items 3
[SI/22-23/21497] 13/179 | CN creation started
[SI/22-23/21497] 13/179 | CN creation completed - [CN/22-23/06572]: Grand Total = -1671.84
[SI/22-23/21497] 13/179 | Correct SI creation started
[SI/22-23/21755] 13/179 | Correct SI creation completed - [SI/22-23/21755]: Grand Total = 1705.99
[SI/22-23/21755] 13/179 | Completed in 0:00:10.534376 Total time till now 0:02:12.137780
[SI/22-23/21498] 14/179 | Started
[SI/22-23/21498] 14/179 | Completed in 0:00:00.057949 Total time till now 0:02:12.195794
[SI/22-23/21499] 15/179 | Started
[SI/22-23/21499] 15/179 | Completed in 0:00:00.067025 Total time till now 0:02:12.262870
[SI/22-23/21500] 16/179 | Started
[SI/22-23/21500] 16/179 | Wrong items 1
[SI/22-23/21500] 16/179 | CN creation started
[SI/22-23/21500] 16/179 | CN creation completed - [CN/22-23/06573]: Grand Total = -584.2
[SI/22-23/21500] 16/179 | Correct SI creation started
[SI/22-23/21756] 16/179 | Correct SI creation completed - [SI/22-23/21756]: Grand Total = 603.82
[SI/22-23/21756] 16/179 | Completed in 0:00:07.933587 Total time till now 0:02:20.196833
[SI/22-23/21501] 17/179 | Started
[SI/22-23/21501] 17/179 | Completed in 0:00:00.231753 Total time till now 0:02:20.428637
[SI/22-23/21502] 18/179 | Started
[SI/22-23/21502] 18/179 | Wrong items 3
[SI/22-23/21502] 18/179 | CN creation started
[SI/22-23/21502] 18/179 | CN creation completed - [CN/22-23/06574]: Grand Total = -687.08
[SI/22-23/21502] 18/179 | Correct SI creation started
[SI/22-23/21757] 18/179 | Correct SI creation completed - [SI/22-23/21757]: Grand Total = 931.81
[SI/22-23/21757] 18/179 | Completed in 0:00:15.548972 Total time till now 0:02:35.977655
[SI/22-23/21519] 19/179 | Started
[SI/22-23/21519] 19/179 | Completed in 0:00:00.302594 Total time till now 0:02:36.280292
[SI/22-23/21520] 20/179 | Started
[SI/22-23/21520] 20/179 | Wrong items 3
[SI/22-23/21520] 20/179 | CN creation started
[SI/22-23/21520] 20/179 | CN creation completed - [CN/22-23/06575]: Grand Total = -6344.1
[SI/22-23/21520] 20/179 | Correct SI creation started
[SI/22-23/21758] 20/179 | Correct SI creation completed - [SI/22-23/21758]: Grand Total = 4589.3
[SI/22-23/21758] 20/179 | Completed in 0:00:10.561028 Total time till now 0:02:46.841370
[SI/22-23/21521] 21/179 | Started
[SI/22-23/21521] 21/179 | Wrong items 16
[SI/22-23/21521] 21/179 | CN creation started
[SI/22-23/21521] 21/179 | CN creation completed - [CN/22-23/06576]: Grand Total = -32964.92
[SI/22-23/21521] 21/179 | Correct SI creation started
[SI/22-23/21759] 21/179 | Correct SI creation completed - [SI/22-23/21759]: Grand Total = 29243.14
[SI/22-23/21759] 21/179 | Completed in 0:00:31.257172 Total time till now 0:03:18.098604
[SI/22-23/21522] 22/179 | Started
[SI/22-23/21522] 22/179 | Wrong items 16
[SI/22-23/21522] 22/179 | CN creation started
[SI/22-23/21522] 22/179 | CN creation completed - [CN/22-23/06577]: Grand Total = -20179.59
[SI/22-23/21522] 22/179 | Correct SI creation started
[SI/22-23/21760] 22/179 | Correct SI creation completed - [SI/22-23/21760]: Grand Total = 16343.44
[SI/22-23/21760] 22/179 | Completed in 0:00:24.790788 Total time till now 0:03:42.889461
[SI/22-23/21523] 23/179 | Started
[SI/22-23/21523] 23/179 | Completed in 0:00:00.068104 Total time till now 0:03:42.957787
[SI/22-23/21524] 24/179 | Started
[SI/22-23/21524] 24/179 | Wrong items 5
[SI/22-23/21524] 24/179 | CN creation started
[SI/22-23/21524] 24/179 | CN creation completed - [CN/22-23/06578]: Grand Total = -5753.8
[SI/22-23/21524] 24/179 | Correct SI creation started
[SI/22-23/21761] 24/179 | Correct SI creation completed - [SI/22-23/21761]: Grand Total = 4114.82
[SI/22-23/21761] 24/179 | Completed in 0:00:14.273899 Total time till now 0:03:57.231774
[SI/22-23/21525] 25/179 | Started
[SI/22-23/21525] 25/179 | Wrong items 8
[SI/22-23/21525] 25/179 | CN creation started
[SI/22-23/21525] 25/179 | CN creation completed - [CN/22-23/06579]: Grand Total = -3236.32
[SI/22-23/21525] 25/179 | Correct SI creation started
[SI/22-23/21762] 25/179 | Correct SI creation completed - [SI/22-23/21762]: Grand Total = 3040.56
[SI/22-23/21762] 25/179 | Completed in 0:00:15.761179 Total time till now 0:04:12.993040
[SI/22-23/21526] 26/179 | Started
[SI/22-23/21526] 26/179 | Wrong items 9
[SI/22-23/21526] 26/179 | CN creation started
[SI/22-23/21526] 26/179 | CN creation completed - [CN/22-23/06580]: Grand Total = -14909.81
[SI/22-23/21526] 26/179 | Correct SI creation started
[SI/22-23/21763] 26/179 | Correct SI creation completed - [SI/22-23/21763]: Grand Total = 10639.4
[SI/22-23/21763] 26/179 | Completed in 0:00:22.188533 Total time till now 0:04:35.181650
[SI/22-23/21527] 27/179 | Started
[SI/22-23/21527] 27/179 | Wrong items 9
[SI/22-23/21527] 27/179 | CN creation started
[SI/22-23/21527] 27/179 | CN creation completed - [CN/22-23/06581]: Grand Total = -3169.71
[SI/22-23/21527] 27/179 | Correct SI creation started
[SI/22-23/21764] 27/179 | Correct SI creation completed - [SI/22-23/21764]: Grand Total = 2689.16
